issue_id	category	discovered_week_estimate	actual_delay_months	root_cause	evidence	would_matrix_role	preventable	fix_recommendation
IM-012	data	5	3	973287 products empty stock; inventory join fails without OD-04	source_profile.json join_metrics; quality-issue-counts.csv	D Inventory Loader Agent	Y	Stock fallback contract before inventory loader
IM-013	data	5	3	2735879 inventory rows missing quantity_on_hand OD-05 open	source_profile.json collections.inventory.workflow_flags	C Normalization Harness Agent	Y	quantity_on_hand fallback enum in mapping contract
IM-014	data	5	1	3670 inventory price parse failures OD-08	open_decisions.tsv OD-08; source_profile.json	C Data Quality Queue Agent	Y	Price validation + reject queue before load
IM-015	data	6	2	4622287 products empty photos[]; media blocked without assets	source_profile.json workflow_flags.photos_empty	B Media/IPL Contract Agent	Y	Obtain assets or defer media scope explicitly
IM-016	architecture	3	2	Single products.type=part|model vs layered Shopware Brand→Model→IPL→Parts	target-vs-current-state.md; Confluence PDF	D Category/Model Loader Agent	Y	Normalization harness splits by type with explicit entity mapping
IM-017	process	4	3	G2 FAIL: only mapping-contract-starter.csv (11 rows) not approved mapping_contract.csv	gate_verdicts.tsv G2; mapping-contract-starter.csv	B Mapping Contract Agent	Y	Mapping approval gate before Batch C
IM-018	process	8	2	G4 PASS superficial: no normalized_payloads/ or payload_hash_ledger.sqlite	verification-gates.csv; gate_verdicts.tsv G4	C Independent Verification Agent	Y	Tighten verify-gates.mjs to require hash ledger
IM-019	process	5	2	24/26 agent roles BLOCKED; parallel workstreams started without gates	agent-role-results.tsv verdict column	Lead Orchestrator	Y	Enforce agent-workstream-matrix depends_on before fanout
IM-020	process	2	2	15/17 open decisions without owners	open_decisions.tsv	A Project Evidence Agent	Y	Human Domain Owner assignment week 1
IM-021	process	10	2	No dry_run_reconciliation.json or two-run hash determinism test	agent-role-results.tsv C Independent Verification	C Independent Verification Agent	Y	Batch C reconciliation JSON mandatory for G4
IM-022	infra	8	2	EventBridge bus/rules/ARNs unknown; G8 0/2 artifacts	target_system_blockers.md TB-11; access_matrix.csv EventBridge	F Event Contract Agent	Y	AWS infra discovery H-10 parallel to paper contract
IM-023	infra	9	2	DocumentDB change streams not enabled; 3h retention default	target_system_blockers.md TB-10	F Sync Processor Agent	Y	Enable streams on products/inventory/assets pre-sync
IM-024	architecture	9	2	Full-record EventBridge payloads would hit 16MB DocumentDB / 256KB EventBridge limits	target_system_blockers.md TB-10; quota_limits.md	F Event Contract Agent	Y	Compact ID-only contract (compact-sync-event.schema.json)
IM-025	architecture	9	1	Legacy cataloger $facet / correlated $lookup unsupported DocumentDB 5.0	target_system_blockers.md TB-12	F Sync Processor Agent	Y	Refactor profiling queries per AWS compatibility matrix
IM-026	infra	7	1	DynamoDB event ledger table not provisioned	agentic-migration-execution-strategy.md Phase 7	F Event Contract Agent	Y	Provision ledger-table.json schema in dev
IM-027	scope	6	2	Sample archive passed G1 but OD-16 sample≠prod not enforced	source_profile.json profile_verdict MEASURED_SAMPLE_NOT_PRODUCTION_FREEZE	E Prod Load Agent	Y	Production freeze certification before prod gate G7
IM-028	data	4	1	590649 product stock refs with join issues per quality counts	quality-issue-counts.csv product_missing_stock_ref	C Data Quality Queue Agent	Y	source_join_report.csv row-level ledger
IM-029	architecture	5	2	Brand de-dupe from marketing_brand arrays unfrozen OD-10	mapping-contract-starter.csv row Brand	D Manufacturer/Brand Loader Agent	Y	Brand scaffold manifest before category load
IM-030	vendor	7	2	Custom field dev/staging/prod parity unverified OD-11	open_decisions.tsv OD-11	B Target Schema Contract Agent	Y	custom_field_diff.csv per env before load
IM-031	scope	1	1	Confluence hierarchy depth (Brand Family, Model Variant) sparse in BSON equipment_type 4.78M empty	source_profile.json workflow_flags.equipment_type_empty	B Mapping Contract Agent	Y	Do not depend on equipment_type for navigation
IM-032	process	6	3	Loaders Batch D started or designed before G0-G4 verified	AGENTS.md non-negotiable rule; gate_verdicts.tsv	Lead Orchestrator	Y	Hard gate verify-gates.mjs in CI before loader agents
IM-033	data	5	1	Inventory availability enum ava/nla/obs mapping unfrozen	mapping-contract-starter.csv row availability	B Mapping Contract Agent	Y	Explicit enum map in mapping contract
IM-034	infra	6	1	CDN base URL unknown; CDN resolution report missing	environment_matrix.csv CDN; media_ipl contract absent	B Media/IPL Contract Agent	Y	Populate cdn_base; HEAD smoke sample assets
IM-035	architecture	7	2	Sync API batch sizing unknown for 4.4M products	quota_limits.md TBD; dry-run 4435658 loadable parts	C Batch Manifest Agent	Y	Shopware sync smoke B-13 before batch_manifest.csv
IM-036	process	11	1	9-month slip: rework loops from late discovery vs gated control plane	blocker-strategy-report.md; agentic-migration-execution-strategy.md	Lead Orchestrator	Y	Adopt gated control plane from week 1 (this assessment)
IM-037	data	4	2	Transform dry-run: 923/1000 sample models blocked OD-01 (92.3%)	discoveries/assessment/output/transform_stats.json blocked_model_mapping=923	C Normalization Harness Agent	Y	Resolve OD-01 before model transform
IM-038	data	3	3	Transform dry-run: 2065/10000 sample parts blocked_no_media (20.7%)	discoveries/assessment/output/transform_stats.json blocked_no_media=2065	B Media/IPL Contract Agent	Y	assets.bson + CDN contract
IM-039	data	4	2	Transform dry-run: 77 rows skipped_deleted; 439K catalog-wide	discoveries/assessment/output/transform_stats.json skipped_deleted=77	C Normalization Harness Agent	Y	Freeze publication policy OD-06
IM-040	data	5	2	Transform dry-run: stock_fallback_used=1054; 2.74M missing qty catalog-wide	discoveries/assessment/output/transform_stats.json stock_fallback_used=1054	D Inventory Loader Agent	Y	Sign OD-05 fallback before prod inventory load
